figure,output,script,primary_input,display_change,data_contract
Fig_S2b,Suppl/Fig_S2b,python/render_final_common_direction.py,data/publication_input/common_direction/A_kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","12 qualifying frozen genes"
Fig_S3a,Suppl/Fig_S3a,R/final_figures/04_upset_membership.R,results/tables/04_membership_matrix_up_tissues.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
Fig_S3b,Suppl/Fig_S3b,python/render_final_common_direction.py,data/publication_input/common_direction/D_NES_gt1_excl_Kidney_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","5 qualifying frozen genes"
Fig_S4a,Suppl/Fig_S4a,R/final_figures/04_upset_membership.R,results/tables/04_membership_matrix_down_tissues.csv,"Reproducible supplementary UpSet","Exact Ensembl-ID membership"
Fig_S4b,Suppl/Fig_S4b,python/render_final_common_direction.py,data/publication_input/common_direction/C_NES_lt_minus1_excl_Lung_Thymus_DDR_common_direction_top30_min_abs_log2fc_direction_ordered.csv,"Retained publication heatmap layout","11 qualifying frozen genes"
Fig_S5,Suppl/Fig_S5,R/final_figures/07_figS5_counts.R,results/tables/02_seven_pathway_member_gene_counts_per_source_sample_long.csv,"23-point tissue headings and balanced two-cell legend panel","5327 rows; 26 tissues; 7 pathways; seed 25"
Fig_4b,Main/Fig_4b,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,NHEJ linear boxplot,Ensembl-ID statistics; seed 25
Fig_4c,Main/Fig_4c,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,HR linear boxplot,Ensembl-ID statistics; seed 25
Fig_4d,Main/Fig_4d,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,A-EJ linear boxplot,Ensembl-ID statistics; seed 25
Fig_5b,Main/Fig_5b,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,BER linear boxplot,Ensembl-ID statistics; seed 25
Fig_5c,Main/Fig_5c,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,NER linear boxplot,Ensembl-ID statistics; seed 25
Fig_5d,Main/Fig_5d,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,MMR linear boxplot,Ensembl-ID statistics; seed 25
Fig_5e,Main/Fig_5e,R/figures/10_pathway_gene_tissue_boxplots_linear.R,data/publication_input/qsmooth/06_component_flight_sample_yarn_qsmooth_values.csv.gz,FA linear boxplot,Ensembl-ID statistics; seed 25
Fig_S6,Suppl/Fig_S6_log2fc_per_tissue_merged,python/plot_log2fc_per_tissue_pathway_spearman_20260902.py,data/publication_input/go/log2fc_spearman_20260902/03_tissue_pairwise_spearman_log2fc_long.csv,Merged and individual panels,26 tissues; 15 GO terms
