Pathway,PathwayOrder,SeedGOID,ExpansionMode,RuleLabel,Rationale
FA,4,GO:0036297,pathway_related,Interstrand cross-link repair,"Interstrand cross-link repair is assigned to the Fanconi-anemia pathway; terms can also map to NER or HR."
FA,4,GO:0043240,structural,FA nuclear complex,"Fanconi-anemia nuclear complex and its structural subclasses."
HR,5,GO:0000724,pathway_related,HR-mediated DSB repair,"Double-strand break repair via homologous recombination and related process terms."
HR,5,GO:0000725,pathway_related,Recombinational repair,"Recombinational repair and related process terms."
HR,5,GO:0035825,pathway_related,Homologous recombination,"Homologous recombination and related process terms."
HR,5,GO:0010569,structural,HR regulation,"Regulation of homologous-recombination-mediated DSB repair and its subclasses."
HR,5,GO:0006312,pathway_related,Mitotic recombination,"Mitotic recombination uses a homologous DNA region."
HR,5,GO:0000019,structural,Mitotic recombination regulation,"Regulation of mitotic recombination and its subclasses."
HR,5,GO:0000711,exact,Meiotic repair synthesis,"The GO definition specifies repair synthesis using a homologous intact duplex."
HR,5,GO:0000732,exact,DNA strand displacement,"The GO definition describes strand displacement after recombination heteroduplex formation."
HR,5,GO:1990426,pathway_related,Recombination-dependent fork processing,"Mitotic recombination-dependent replication-fork processing is assigned to HR."
HR,5,GO:0005715,exact,Late recombination nodule,"The late recombination nodule is a meiotic homologous-recombination structure."
HR,5,GO:0071139,pathway_related,Recombination-intermediate resolution,"Resolution of DNA recombination intermediates and related process terms."
HR,5,GO:0042148,pathway_related,DNA strand invasion,"DNA strand invasion and its regulatory terms."
HR,5,GO:0048476,structural,Holliday-junction resolvase complex,"Holliday-junction resolvase complexes are assigned to HR."
HR,5,GO:0009379,structural,Holliday-junction helicase complex,"Holliday-junction helicase complexes carry out branch migration."
HR,5,GO:0000400,structural,Four-way junction binding,"Four-way junction DNA binding is assigned to HR."
HR,5,GO:0009378,structural,Four-way junction helicase,"Four-way junction helicase activity is assigned to HR."
HR,5,GO:0000150,structural,DNA strand exchange,"DNA strand-exchange activity and its subclasses are assigned to HR."
HR,5,GO:0140619,exact,DNA strand exchange activator,"An activity explicitly increasing DNA strand exchange."
HR,5,GO:0140620,exact,DNA strand exchange inhibitor,"An activity explicitly reducing DNA strand exchange."
HR,5,GO:0062037,exact,D-loop binding,"Generic D-loop DNA binding is assigned to HR; telomeric D-loop subclasses remain excluded."
AEJ,6,GO:0097681,pathway_related,Alternative end joining,"Alternative nonhomologous end joining and related process terms."
AEJ,6,GO:0006303,exact,Generic nonhomologous end joining,"The generic NHEJ term is assigned to both NHEJ and AEJ without expanding into the classical or alternative branches."
AEJ,6,GO:0061674,exact,Generic NHEJ gap filling,"The generic NHEJ gap-filling term does not distinguish classical from alternative end joining and is assigned to both."
AEJ,6,GO:2001032,structural,Generic NHEJ regulation,"Generic NHEJ regulation and its positive/negative subclasses are assigned to both NHEJ and AEJ."
AEJ,6,GO:0031848,pathway_related,Protection from NHEJ at telomeres,"Protection and regulation terms explicitly referring to generic NHEJ are assigned to both NHEJ and AEJ."
NHEJ,7,GO:0097680,pathway_related,Classical NHEJ,"Classical nonhomologous end joining and related process terms."
NHEJ,7,GO:0070419,structural,NHEJ complex,"Nonhomologous-end-joining complexes and their structural subclasses."
NHEJ,7,GO:0043564,exact,Ku70-Ku80 complex,"The Ku70-Ku80 complex is a classical NHEJ complex."
NHEJ,7,GO:0070418,structural,DNA-PK complex,"The DNA-dependent protein kinase complex is a core classical-NHEJ complex."
NHEJ,7,GO:0004677,exact,DNA-PK activity,"DNA-dependent protein kinase activity is assigned to classical NHEJ."
NHEJ,7,GO:0006303,exact,Generic nonhomologous end joining,"The generic NHEJ term is assigned to both NHEJ and AEJ without expanding into the classical or alternative branches."
NHEJ,7,GO:0061674,exact,Generic NHEJ gap filling,"The generic NHEJ gap-filling term does not distinguish classical from alternative end joining and is assigned to both."
NHEJ,7,GO:2001032,structural,Generic NHEJ regulation,"Generic NHEJ regulation and its positive/negative subclasses are assigned to both NHEJ and AEJ."
NHEJ,7,GO:0031848,pathway_related,Protection from NHEJ at telomeres,"Protection and regulation terms explicitly referring to generic NHEJ are assigned to both NHEJ and AEJ."
